Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR29397965,miRNA-Seq,11,71561072,PRJNA1123679,SAMN41818052,72544930,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Control,SRX24911820,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326846,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326846,Serum exosome,SRP513741,Serum exosome
SRR29397966,miRNA-Seq,11,79038802,PRJNA1123679,SAMN41818053,81849211,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",Control,SRX24911819,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326845,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326845,Serum exosome,SRP513741,Serum exosome
SRR29397967,miRNA-Seq,11,70652194,PRJNA1123679,SAMN41818054,72621599,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Control,SRX24911818,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326844,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326844,Serum exosome,SRP513741,Serum exosome
SRR29397968,miRNA-Seq,12,95400757,PRJNA1123679,SAMN41818055,94830698,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Control,SRX24911817,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326843,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326843,Serum exosome,SRP513741,Serum exosome
SRR29397969,miRNA-Seq,12,171676204,PRJNA1123679,SAMN41818056,165811775,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Control,SRX24911816,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326842,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:49:00Z,1,GSM8326842,Serum exosome,SRP513741,Serum exosome
SRR29397970,miRNA-Seq,11,212554066,PRJNA1123679,SAMN41818057,205556376,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX24911815,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326841,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:49:00Z,1,GSM8326841,Serum exosome,SRP513741,Serum exosome
SRR29397971,miRNA-Seq,11,79821760,PRJNA1123679,SAMN41818058,81489434,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Control,SRX24911814,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326840,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:47:00Z,1,GSM8326840,Serum exosome,SRP513741,Serum exosome
SRR29397972,miRNA-Seq,11,122339261,PRJNA1123679,SAMN41818059,118749407,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Control,SRX24911813,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326839,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326839,Serum exosome,SRP513741,Serum exosome
SRR29397973,miRNA-Seq,11,158208826,PRJNA1123679,SAMN41818060,154922277,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Control,SRX24911812,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326838,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326838,Serum exosome,SRP513741,Serum exosome
SRR29397974,miRNA-Seq,11,137914955,PRJNA1123679,SAMN41818061,134492050,Extracellular vesicles,"NOBUTAKA HATTORI, DEPARTMENT OF NEUROLOGY, JUNTENDO UNIVERSITY",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",Control,SRX24911811,uncalculated,uncalculated,missing,Ion Torrent PGM,GSM8326837,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2024-07-26T00:00:00Z,2024-06-13T13:48:00Z,1,GSM8326837,Serum exosome,SRP513741,Serum exosome
